File Name,Execution Time (seconds)
full_arbiter100.tlsf,Timeout
full_arbiter2.tlsf,0.159280847
full_arbiter25.tlsf,Timeout
full_arbiter250.tlsf,Timeout
full_arbiter3.tlsf,0.30646665
full_arbiter4.tlsf,0.641171182
full_arbiter5.tlsf,1.66375374
full_arbiter50.tlsf,Timeout
full_arbiter6.tlsf,7.869629046
full_arbiter7.tlsf,46.145738873
full_arbiter8.tlsf,Timeout
full_arbiter_enc10.tlsf,Timeout
full_arbiter_enc12.tlsf,Timeout
full_arbiter_enc14.tlsf,Timeout
full_arbiter_enc16.tlsf,Timeout
full_arbiter_enc32.tlsf,Timeout
full_arbiter_enc8.tlsf,Timeout
full_arbiter_unreal12_1.tlsf,0.131397295
full_arbiter_unreal12_10.tlsf,1.870221226
full_arbiter_unreal12_11.tlsf,3.069467346
full_arbiter_unreal12_12.tlsf,5.402659349
full_arbiter_unreal12_13.tlsf,11.846198794
full_arbiter_unreal12_14.tlsf,28.535695546
full_arbiter_unreal12_15.tlsf,Timeout
full_arbiter_unreal12_16.tlsf,Timeout
full_arbiter_unreal12_18.tlsf,Timeout
full_arbiter_unreal12_2.tlsf,0.172234608
full_arbiter_unreal12_20.tlsf,Timeout
full_arbiter_unreal12_21.tlsf,Timeout
full_arbiter_unreal12_22.tlsf,Timeout
full_arbiter_unreal12_24.tlsf,Timeout
full_arbiter_unreal12_26.tlsf,Timeout
full_arbiter_unreal12_3.tlsf,0.130977201
full_arbiter_unreal12_4.tlsf,0.166109231
full_arbiter_unreal12_5.tlsf,0.28436863
full_arbiter_unreal12_6.tlsf,0.277136023
full_arbiter_unreal12_7.tlsf,0.301314968
full_arbiter_unreal12_8.tlsf,0.631828976
full_arbiter_unreal12_9.tlsf,1.053174848
full_arbiter_unreal13_1.tlsf,0.471410806
full_arbiter_unreal13_10.tlsf,Timeout
full_arbiter_unreal13_11.tlsf,Timeout
full_arbiter_unreal13_12.tlsf,Timeout
full_arbiter_unreal13_13.tlsf,Timeout
full_arbiter_unreal13_14.tlsf,Timeout
full_arbiter_unreal13_15.tlsf,Timeout
full_arbiter_unreal13_16.tlsf,Timeout
full_arbiter_unreal13_2.tlsf,0.561781538
full_arbiter_unreal13_3.tlsf,0.556370635
full_arbiter_unreal13_4.tlsf,1.113201231
full_arbiter_unreal13_5.tlsf,4.863198808
full_arbiter_unreal13_6.tlsf,30.639022851
full_arbiter_unreal13_7.tlsf,Timeout
full_arbiter_unreal13_8.tlsf,Timeout
full_arbiter_unreal13_9.tlsf,Timeout
full_arbiter_unreal14_1.tlsf,0.525664024
full_arbiter_unreal14_10.tlsf,Timeout
full_arbiter_unreal14_11.tlsf,Timeout
full_arbiter_unreal14_12.tlsf,Timeout
full_arbiter_unreal14_13.tlsf,Timeout
full_arbiter_unreal14_14.tlsf,Timeout
full_arbiter_unreal14_15.tlsf,Timeout
full_arbiter_unreal14_16.tlsf,Timeout
full_arbiter_unreal14_2.tlsf,1.169053559
full_arbiter_unreal14_3.tlsf,2.660697603
full_arbiter_unreal14_4.tlsf,35.913644908
full_arbiter_unreal14_5.tlsf,Timeout
full_arbiter_unreal14_6.tlsf,Timeout
full_arbiter_unreal14_7.tlsf,Timeout
full_arbiter_unreal14_8.tlsf,Timeout
full_arbiter_unreal14_9.tlsf,Timeout
full_arbiter_unreal16_8.tlsf,Timeout
full_arbiter_unreal22.tlsf,0.216591865
full_arbiter_unreal23.tlsf,1.260709287
full_arbiter_unreal24.tlsf,Timeout
full_arbiter_unreal25.tlsf,Timeout
full_arbiter_unreal26.tlsf,Timeout
full_arbiter_unreal27.tlsf,Timeout
full_arbiter_unreal28.tlsf,Timeout
generalized_buffer2.tlsf,Timeout
generalized_buffer3.tlsf,Timeout
generalized_buffer4.tlsf,Timeout
generalized_buffer5.tlsf,Timeout
generalized_buffer6.tlsf,Timeout
jarvis_gideon_a02758ea.tlsf,1.006261631
jarvis_philippe_484face8.tlsf,0.660566809
lazy_shades_problem_d6376bf9.tlsf,0.419408009
lift2.tlsf,0.263295866
lift3.tlsf,0.679044258
lift4.tlsf,1.338220044
lift_unary_enc2.tlsf,0.173427756
lift_unary_enc3.tlsf,0.475133751
lift_unary_enc4.tlsf,2.747226736
lift_wrong_physics_unreal2.tlsf,0.241097611
lift_wrong_physics_unreal3.tlsf,0.813797982
lift_wrong_physics_unreal4.tlsf,0.849520703
lilydemo01.tlsf,0.041126421
lilydemo02.tlsf,0.083172468
lilydemo03.tlsf,0.049968557
lilydemo04.tlsf,0.062010547
lilydemo05.tlsf,0.063245197
lilydemo06.tlsf,0.066066516
lilydemo07.tlsf,0.081834327
lilydemo08.tlsf,0.036543199
lilydemo09.tlsf,0.064279511
lilydemo10.tlsf,0.032032523
lilydemo11.tlsf,0.043521578
lilydemo12.tlsf,0.033530895
lilydemo13.tlsf,0.029798941
lilydemo14.tlsf,0.035271701
lilydemo15.tlsf,0.06135208
lilydemo16.tlsf,0.072193712
lilydemo17.tlsf,0.044701497
lilydemo18.tlsf,0.062622193
lilydemo19.tlsf,0.060711008
lilydemo20.tlsf,0.105635886
lilydemo21.tlsf,0.349793777
lilydemo22.tlsf,0.077714126
lilydemo23.tlsf,0.037949095
lilydemo24.tlsf,0.089653492
load_balancer10.tlsf,Timeout
load_balancer2.tlsf,0.140456574
load_balancer3.tlsf,0.237989165
load_balancer4.tlsf,0.243193673
load_balancer5.tlsf,0.787203295
load_balancer6.tlsf,2.131747219
load_balancer7.tlsf,9.889389381
load_balancer8.tlsf,Timeout
load_balancer9.tlsf,Timeout
load_balancer_unreal12_1.tlsf,0.154010126
load_balancer_unreal12_10.tlsf,1.225308974
load_balancer_unreal12_11.tlsf,2.020555156
load_balancer_unreal12_12.tlsf,3.957474685
load_balancer_unreal12_13.tlsf,8.395390262
load_balancer_unreal12_14.tlsf,19.746900976
load_balancer_unreal12_15.tlsf,48.049001214
load_balancer_unreal12_16.tlsf,Timeout
load_balancer_unreal12_2.tlsf,0.148967779
load_balancer_unreal12_3.tlsf,0.230180194
load_balancer_unreal12_4.tlsf,0.193998365
load_balancer_unreal12_5.tlsf,0.146219227
load_balancer_unreal12_6.tlsf,0.212308778
load_balancer_unreal12_7.tlsf,0.316018839
load_balancer_unreal12_8.tlsf,0.453926468
load_balancer_unreal12_9.tlsf,0.960703714
load_balancer_unreal13_1.tlsf,0.287048468
load_balancer_unreal13_10.tlsf,13.201713023
load_balancer_unreal13_11.tlsf,29.248454647
load_balancer_unreal13_12.tlsf,58.489369271
load_balancer_unreal13_2.tlsf,0.407407673
load_balancer_unreal13_3.tlsf,0.21250913
load_balancer_unreal13_4.tlsf,0.418708213
load_balancer_unreal13_5.tlsf,0.450444094
