File Name,Execution Time (seconds)
amba_decomposed_encode13.tlsf,14.843716783
amba_decomposed_encode14.tlsf,35.795608105
amba_decomposed_encode15.tlsf,Timeout
amba_decomposed_encode16.tlsf,Timeout
amba_decomposed_encode2.tlsf,.033562264
amba_decomposed_encode20.tlsf,Timeout
amba_decomposed_encode3.tlsf,.036038074
amba_decomposed_encode4.tlsf,.041461754
amba_decomposed_encode5.tlsf,.042374223
amba_decomposed_encode50.tlsf,Timeout
amba_decomposed_encode6.tlsf,.046790651
amba_decomposed_encode7.tlsf,.076504500
amba_decomposed_encode8.tlsf,.109761370
amba_decomposed_encode9.tlsf,.548098143
amba_decomposed_lock10.tlsf,Timeout
amba_decomposed_lock100.tlsf,Timeout
amba_decomposed_lock11.tlsf,Timeout
amba_decomposed_lock12.tlsf,Timeout
amba_decomposed_lock13.tlsf,Timeout
amba_decomposed_lock14.tlsf,Timeout
amba_decomposed_lock15.tlsf,Timeout
amba_decomposed_lock16.tlsf,Timeout
amba_decomposed_lock2.tlsf,.043043983
amba_decomposed_lock3.tlsf,.036749012
amba_decomposed_lock30.tlsf,Timeout
amba_decomposed_lock4.tlsf,.047903064
amba_decomposed_lock5.tlsf,.064854788
amba_decomposed_lock6.tlsf,.262344715
amba_decomposed_lock60.tlsf,Timeout
amba_decomposed_lock7.tlsf,1.109293069
amba_decomposed_lock8.tlsf,6.049054125
amba_decomposed_lock9.tlsf,38.421355487
amba_decomposed_shift.tlsf,.020760870
amba_decomposed_tburst4.tlsf,.033512424
amba_decomposed_tincr.tlsf,.028888465
amba_decomposed_tsingle.tlsf,.030329144
arbiter1.tlsf,.026721604
arbiter2.tlsf,.032730849
arbiter3.tlsf,.036053050
arbiter4.tlsf,.045323450
arbiter_with_buffer1.tlsf,.027049875
arbiter_with_buffer2.tlsf,.026545937
arbiter_with_buffer3.tlsf,.038899573
arbiter_with_buffer4.tlsf,.375568592
arbiter_with_cancel1.tlsf,.028072253
arbiter_with_cancel2.tlsf,.031517831
arbiter_with_cancel3.tlsf,.040419933
arbiter_with_cancel4.tlsf,.119768792
collector_v111.tlsf,Timeout
collector_v113.tlsf,Timeout
collector_v115.tlsf,Timeout
collector_v127.tlsf,Timeout
collector_v13.tlsf,.031333730
collector_v15.tlsf,.042284093
collector_v17.tlsf,.985724547
collector_v19.tlsf,40.146725372
collector_v211.tlsf,Timeout
collector_v213.tlsf,Timeout
collector_v215.tlsf,Timeout
collector_v227.tlsf,Timeout
collector_v23.tlsf,.023530102
collector_v25.tlsf,.033261916
collector_v27.tlsf,.156416369
collector_v29.tlsf,4.208961608
collector_v311.tlsf,Timeout
collector_v313.tlsf,Timeout
collector_v315.tlsf,Timeout
collector_v327.tlsf,Timeout
collector_v33.tlsf,.048113374
collector_v35.tlsf,5.782640563
collector_v37.tlsf,Timeout
collector_v39.tlsf,Timeout
detector1.tlsf,.029658447
detector10.tlsf,.018346267
detector100.tlsf,.020806558
detector12.tlsf,.020059206
detector14.tlsf,.017957503
detector2.tlsf,.026406846
detector25.tlsf,.022622253
detector250.tlsf,.023669671
detector3.tlsf,.018934310
detector4.tlsf,.018595261
detector5.tlsf,.018964376
detector50.tlsf,.019428742
detector6.tlsf,.018970187
detector7.tlsf,.023367664
detector8.tlsf,.018087538
detector9.tlsf,.031615593
detector_unreal10.tlsf,.052235646
detector_unreal100.tlsf,Timeout
detector_unreal11.tlsf,.096742468
detector_unreal12.tlsf,.238170623
detector_unreal13.tlsf,.413495257
detector_unreal14.tlsf,1.200955119
detector_unreal15.tlsf,3.206719840
detector_unreal16.tlsf,6.756697506
detector_unreal2.tlsf,.022449029
detector_unreal25.tlsf,Timeout
detector_unreal3.tlsf,.029601311
detector_unreal4.tlsf,.025702989
detector_unreal5.tlsf,.029266119
detector_unreal50.tlsf,Timeout
detector_unreal6.tlsf,.036279125
detector_unreal7.tlsf,.031321695
detector_unreal8.tlsf,.041767398
detector_unreal9.tlsf,.042220046
door_locking_problem_d6c5ac79.tlsf,.064969078
example101.tlsf,.024381633
example102.tlsf,.023744928
example103.tlsf,.024041773
example10a1.tlsf,.024570994
example10a2.tlsf,.043178266
example10a3.tlsf,.034218081
example71.tlsf,.024307808
example72.tlsf,.038785272
example73.tlsf,.036187125
example7a1.tlsf,.038353696
example7a2.tlsf,.033727067
example7a3.tlsf,.037827603
example81.tlsf,.034838761
example82.tlsf,.041537307
example83.tlsf,.029739395
example91.tlsf,.030201348
example92.tlsf,.031926270
example93.tlsf,.034755611
full_arbiter100.tlsf,Timeout
full_arbiter2.tlsf,.043596866
full_arbiter25.tlsf,Timeout
full_arbiter250.tlsf,Timeout
full_arbiter3.tlsf,.033928583
full_arbiter4.tlsf,.048602051
full_arbiter5.tlsf,.075080042
full_arbiter50.tlsf,Timeout
full_arbiter6.tlsf,.363546700
full_arbiter7.tlsf,1.228538693
full_arbiter8.tlsf,8.098215354
full_arbiter_enc10.tlsf,19.680376407
full_arbiter_enc12.tlsf,Timeout
full_arbiter_enc14.tlsf,Timeout
full_arbiter_enc16.tlsf,Timeout
full_arbiter_enc32.tlsf,Timeout
full_arbiter_enc8.tlsf,1.853416497
full_arbiter_unreal12_1.tlsf,.031981928
full_arbiter_unreal12_10.tlsf,.158245848
full_arbiter_unreal12_11.tlsf,.248626696
full_arbiter_unreal12_12.tlsf,.392177709
full_arbiter_unreal12_13.tlsf,.904594853
full_arbiter_unreal12_14.tlsf,1.794366039
full_arbiter_unreal12_15.tlsf,4.103827422
full_arbiter_unreal12_16.tlsf,9.115049697
full_arbiter_unreal12_18.tlsf,44.922316050
full_arbiter_unreal12_2.tlsf,.030314893
full_arbiter_unreal12_20.tlsf,Timeout
full_arbiter_unreal12_21.tlsf,Timeout
full_arbiter_unreal12_22.tlsf,Timeout
full_arbiter_unreal12_24.tlsf,Timeout
full_arbiter_unreal12_26.tlsf,Timeout
full_arbiter_unreal12_3.tlsf,.032559180
full_arbiter_unreal12_4.tlsf,.036995130
full_arbiter_unreal12_5.tlsf,.040987578
full_arbiter_unreal12_6.tlsf,.035660211
full_arbiter_unreal12_7.tlsf,.049641384
full_arbiter_unreal12_8.tlsf,.058711884
full_arbiter_unreal12_9.tlsf,.078378028
full_arbiter_unreal13_1.tlsf,.036442651
full_arbiter_unreal13_10.tlsf,Timeout
full_arbiter_unreal13_11.tlsf,Timeout
full_arbiter_unreal13_12.tlsf,Timeout
full_arbiter_unreal13_13.tlsf,Timeout
full_arbiter_unreal13_14.tlsf,Timeout
full_arbiter_unreal13_15.tlsf,Timeout
full_arbiter_unreal13_16.tlsf,Timeout
full_arbiter_unreal13_2.tlsf,.049207021
full_arbiter_unreal13_3.tlsf,.060392878
full_arbiter_unreal13_4.tlsf,.133735566
full_arbiter_unreal13_5.tlsf,.566085822
