1,2,3,4,5,6,7
0.816,0.742,0.460,0.438,0.000,0.000,0.000,
0.637,0.591,0.672,0.539,0.591,0.638,0.542,
0.682,0.814,0.717,0.680,0.717,0.614,0.434,
0.584,0.720,0.711,0.639,0.534,0.704,0.526,
0.728,0.865,0.534,0.708,0.598,0.652,0.457,
0.717,0.803,0.547,0.435,0.662,0.575,0.640,
0.591,0.640,0.587,0.534,0.686,0.531,0.380,
0.628,0.572,0.699,0.749,0.685,,0.000,
2.091,0.885,2.694,2.626,0.932,Infinity,Infinity,
0.633,0.681,0.614,0.691,,,,
0.502,0.674,0.853,0.643,0.553,,,
0.925,2.610,0.895,Infinity,0.931,,,
0.672,0.617,0.556,0.594,0.525,0.000,
0.669,0.581,0.546,0.599,0.557,0.000,
0.858,0.654,0.645,0.582,0.549,0.000,
1.160,1.250,1.033,0.945,1.118,1.041,1.144,
1.167,1.120,1.026,1.056,1.041,1.066,1.001,
1.050,1.027,1.047,1.034,1.089,1.017,1.046,
1.480,1.351,1.274,1.123,1.505,1.401,1.220,
1.283,1.341,1.129,1.222,1.298,1.100,1.199,
1.133,1.189,1.018,0.990,1.139,1.049,1.090,
1.247,0.945,1.103,0.967,1.088,0.989,1.028,
1.105,1.032,1.061,1.078,1.047,1.042,1.063,
1.505,1.570,0.900,1.479,1.647,1.002,1.042,
2.194,1.249,2.232,1.622,2.265,1.170,Infinity,
1.266,1.021,1.494,2.899,1.400,1.158,Infinity,
1.564,1.071,1.190,1.528,2.245,1.226,Infinity,
1.851,0.947,2.169,2.233,2.209,Infinity,Infinity,
0.882,1.073,1.347,1.245,2.406,Infinity,Infinity,
1.789,1.887,1.213,1.817,2.687,0.973,Infinity,
1.706,0.979,2.333,1.592,2.182,2.414,Infinity,
3.336,4.369,5.081,4.997,3.495,2.825,5.470,
1.545,1.593,1.919,1.652,1.719,2.312,Infinity,
1.552,2.461,2.344,1.761,1.693,2.972,Infinity,
1.354,1.774,1.516,1.114,2.377,1.279,1.641,
0.981,1.220,1.377,0.705,1.223,0.881,0.873,
1.403,1.066,2.268,1.814,1.287,1.698,1.693,
1.237,1.637,1.952,0.506,1.620,1.752,Infinity,
1.633,1.448,0.869,2.179,2.829,Infinity,0.998,
1.382,0.938,1.893,2.489,2.104,Infinity,Infinity,
1.113,1.581,1.715,2.509,2.994,Infinity,Infinity,
1.065,0.955,1.619,1.849,2.013,1.131,Infinity,
1.398,1.712,1.544,1.934,1.323,Infinity,Infinity,
1.605,1.815,1.642,1.434,1.715,1.152,Infinity,
1.581,1.572,1.630,2.010,1.741,2.291,Infinity,
1.366,1.304,0.964,1.487,1.086,1.132,Infinity,
1.434,1.796,1.108,1.282,0.723,0.751,Infinity,
1.963,2.531,3.152,4.036,2.518,1.440,1.781,
2.075,2.487,2.663,3.841,4.849,4.940,3.937,
1.066,1.054,1.159,1.553,2.123,2.478,1.354,
0.912,1.017,1.031,1.003,1.365,1.058,1.411,
1.507,1.560,1.667,0.913,0.871,1.588,1.540,
1.044,0.968,1.059,0.901,1.888,1.131,0.993,
1.690,1.110,1.119,2.214,2.438,1.175,1.483,
0.983,0.877,0.980,0.848,0.796,0.828,0.751,
0.862,0.842,0.894,0.886,1.588,0.946,0.849,
1.413,0.854,0.865,0.913,1.611,0.961,0.832,
2.120,2.257,2.930,3.532,Infinity,Infinity,Infinity,
3.331,3.274,2.168,2.382,2.376,Infinity,Infinity,
1.469,0.918,0.935,0.964,1.684,0.989,0.908,
0.775,0.625,0.657,0.346,0.451,1.157,1.130,
2.840,1.683,1.129,1.528,1.927,1.113,Infinity,
1.657,0.974,1.098,1.065,0.936,1.596,1.423,
0.951,1.510,Infinity,1.023,1.630,2.096,1.032,
1.557,1.914,1.608,1.795,1.894,1.443,1.796,
2.067,2.269,2.160,1.203,2.064,2.430,1.134,
0.652,0.553,0.622,0.746,0.655,1.463,0.574,
0.690,0.618,0.741,1.103,1.293,2.049,1.065,
1.196,0.628,0.957,0.797,0.600,0.665,0.619,
1.443,1.332,1.014,0.771,0.593,0.626,0.597,
1.642,1.195,0.865,0.771,0.536,0.689,0.515,
