1,2,3,4,5,6,7
0.301,0.289,0.314,0.377,0.228,0.284,0.591,
0.374,0.272,0.256,0.314,0.197,0.607,0.284,
0.334,0.323,0.434,0.286,0.217,0.237,0.310,
0.518,0.351,0.308,0.269,0.310,0.274,0.674,
0.473,0.407,0.454,0.283,0.270,0.618,0.544,
0.471,0.349,0.339,0.399,0.387,0.543,0.462,
0.444,0.235,0.584,0.391,0.534,0.721,0.000,
0.495,0.607,0.403,0.623,0.499,0.619,0.699,
0.229,0.294,0.360,0.426,0.256,0.579,0.643,
0.520,0.565,0.429,0.558,0.511,0.681,0.695,
0.341,0.405,0.453,0.472,0.430,0.424,0.465,
0.474,0.621,0.589,0.626,0.749,0.598,0.713,
0.350,0.453,0.318,0.427,0.529,0.428,0.354,
0.560,0.790,0.687,0.721,0.678,0.720,0.652,
0.188,0.217,0.214,0.222,0.206,0.442,0.000,
0.320,0.412,0.390,0.647,0.627,0.276,0.000,
0.388,0.387,0.321,0.611,0.321,0.272,0.000,
0.374,0.357,0.460,0.713,0.424,0.302,0.525,
0.457,0.348,0.359,0.253,0.552,0.301,0.536,
0.397,0.437,0.386,0.424,0.429,0.294,0.000,
0.462,0.301,0.313,0.417,0.315,0.356,0.518,
0.317,0.311,0.558,0.272,0.358,0.309,0.521,
0.331,0.360,0.551,0.431,0.263,0.309,0.421,
0.370,0.409,0.443,0.419,0.314,0.470,0.419,
0.536,0.401,0.462,0.493,0.504,0.358,0.459,
0.997,0.881,0.846,1.243,0.859,0.933,1.176,
0.630,0.685,0.525,0.755,0.737,0.564,0.700,
0.337,0.396,0.442,0.305,0.321,0.537,0.000,
0.304,0.422,0.261,0.438,0.212,0.288,0.247,
0.407,0.406,0.344,0.283,0.415,0.367,0.289,
0.722,0.840,0.839,0.943,0.890,1.014,0.903,
0.363,0.292,0.525,0.598,0.443,0.297,0.491,
0.343,0.408,0.369,0.516,0.452,0.299,0.000,
0.324,0.302,0.656,0.645,0.377,0.517,0.514,
0.255,0.382,0.275,0.446,0.210,0.306,0.000,
0.302,0.392,0.371,0.487,0.512,0.316,0.000,
0.373,0.754,0.388,0.451,0.342,0.503,0.506,
0.345,0.298,0.389,0.395,0.251,0.749,0.345,
0.592,0.883,0.802,0.959,0.710,0.677,0.753,
0.335,0.222,0.373,0.460,0.395,0.501,0.000,
0.521,0.558,0.481,0.437,0.429,0.468,0.693,
0.851,0.743,0.490,0.810,0.589,0.550,0.868,
